,bloomfilter_size,num_hashs,num_train_words,fp_rate
110,4096,16,100,0.006975428894614466
111,4096,16,250,0.007346208419831268
112,4096,16,500,0.07134304739631836
113,4096,16,750,0.3579018987563742
114,4096,16,1000,0.6859475677536766
115,4096,16,2500,1.0
116,4096,16,5000,1.0
117,4096,16,7500,1.0
118,4096,16,10000,1.0
119,4096,16,25000,1.0
120,65536,2,100,0.006982411305920386
121,65536,2,250,0.006989732083569237
122,65536,2,500,0.007113999033728478
123,65536,2,750,0.008830935630265069
124,65536,2,1000,0.007806516438654553
125,65536,2,2500,0.011390670160563
126,65536,2,5000,0.023858238683603605
127,65536,2,7500,0.041261403211674534
128,65536,2,10000,0.022637773127208084
129,65536,2,25000,0.018619471419998816
130,65536,4,100,0.006982411305920386
131,65536,4,250,0.006982742351485668
132,65536,4,500,0.0069809616502237125
133,65536,4,750,0.006958131966022993
134,65536,4,1000,0.006984408046825046
135,65536,4,2500,0.007044603989575122
136,65536,4,5000,0.011220601950591757
137,65536,4,7500,0.021057746821090143
138,65536,4,10000,0.024813039597350674
139,65536,4,25000,0.23133615625818774
140,65536,8,100,0.006975428894614466
141,65536,8,250,0.0069617731552349595
142,65536,8,500,0.0069809616502237125
143,65536,8,750,0.006958131966022993
144,65536,8,1000,0.0069352220746643056
145,65536,8,2500,0.007058806820199266
146,65536,8,5000,0.007692474533137647
147,65536,8,7500,0.011758469116531804
148,65536,8,10000,0.0397773727281592
149,65536,8,25000,0.4377054861093503
150,65536,16,100,0.006982411305920386
151,65536,16,250,0.006975752619402098
152,65536,16,500,0.00700196755288236
153,65536,16,750,0.006993203195690447
154,65536,16,1000,0.00694224864211584
155,65536,16,2500,0.0069664884211423335
156,65536,16,5000,0.007931056919973683
157,65536,16,7500,0.028052452932990714
158,65536,16,10000,0.0804698575575508
159,65536,16,25000,0.8146842803654589
160,1048576,2,100,0.006975428894614466
161,1048576,2,250,0.006989732083569237
162,1048576,2,500,0.0069809616502237125
163,1048576,2,750,0.006993203195690447
164,1048576,2,1000,0.00699143461427658
165,1048576,2,2500,0.007065908235511337
166,1048576,2,5000,0.0069694976033314775
167,1048576,2,7500,0.007245042962221224
168,1048576,2,10000,0.006960852704456296
169,1048576,2,25000,0.008958983070902744
170,1048576,4,100,0.006975428894614466
171,1048576,4,250,0.006968762887318529
172,1048576,4,500,0.006994965585329477
173,1048576,4,750,0.007000217441623938
174,1048576,4,1000,0.007005487749179648
175,1048576,4,2500,0.006945184175206119
176,1048576,4,5000,0.006962267834033416
177,1048576,4,7500,0.007083060294366684
178,1048576,4,10000,0.007020860055356781
179,1048576,4,25000,0.0069981490402900685
180,1048576,8,100,0.006982411305920386
181,1048576,8,250,0.006975752619402098
182,1048576,8,500,0.006959955747565066
183,1048576,8,750,0.006986188949756956
184,1048576,8,1000,0.006970354911921977
185,1048576,8,2500,0.006973589836454405
186,1048576,8,5000,0.0069911869112256626
187,1048576,8,7500,0.0069652547177452015
188,1048576,8,10000,0.006960852704456296
189,1048576,8,25000,0.006862919107144367
190,1048576,16,100,0.006982411305920386
191,1048576,16,250,0.006989732083569237
192,1048576,16,500,0.0069809616502237125
193,1048576,16,750,0.006979174703823465
194,1048576,16,1000,0.006984408046825046
195,1048576,16,2500,0.006980691251766477
196,1048576,16,5000,0.0069478082954372924
197,1048576,16,7500,0.007024157506055943
198,1048576,16,10000,0.007088368325119827
199,1048576,16,25000,0.006955889686182036
